compounds=6389  already_done=0  todo=6389
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[102/6389] BRD-K25690923-001-02-4 -6.99 (passes -6.99)                1.3s/lig ETA 136.1m
[103/6389] BRD-K47337578-034-03-3 -8.03 (passes -8.03)                1.3s/lig ETA 136.1m
[104/6389] BRD-K62537556-001-02-5 -8.97 (passes -8.97)                1.3s/lig ETA 135.4m
[105/6389] BRD-K29313239-005-10-9 -8.18 (passes -8.18)                1.3s/lig ETA 134.7m
[106/6389] BRD-K66664625-001-02-9 -6.22 (passes -6.22)                1.3s/lig ETA 133.9m
[107/6389] BRD-K81316007-001-02-9 -7.86 (passes -7.86)                1.3s/lig ETA 132.9m
[108/6389] BRD-K73303757-001-21-6 -9.29 (passes -9.29)                1.3s/lig ETA 131.9m
[109/6389] BRD-K41024817-325-01-0 -6.11 (passes -6.11)                1.3s/lig ETA 131.3m
[110/6389] BRD-A40504327-003-02-9 -8.64 (passes -8.64)                1.3s/lig ETA 131.2m
[111/6389] BRD-K06338106-001-01-4 -6.40 (passes -6.40)                1.2s/lig ETA 130.5m
[112/6389] BRD-K42108215-001-01-5 -6.38 (passes -6.38)                1.2s/lig ETA 129.6m
[113/6389] BRD-K00004224-001-01-9 -8.28 (passes -8.28)                1.2s/lig ETA 128.6m
[114/6389] BRD-K49545903-003-01-4 -6.59 (passes -6.59)                1.2s/lig ETA 127.8m
[115/6389] BRD-K97118047-001-03-8 -6.63 (passes -6.63)                1.2s/lig ETA 127.5m
[116/6389] BRD-K51799616-001-05-5 -7.89 (passes -7.89)                1.2s/lig ETA 128.7m
[117/6389] BRD-A18598741-001-01-2 -9.30 (passes -9.30)                1.2s/lig ETA 129.3m
[118/6389] BRD-K78061844-050-02-7 -8.45 (passes -8.45)                1.2s/lig ETA 128.4m
[119/6389] BRD-K58146797-001-01-2 -7.44 (passes -7.44)                1.2s/lig ETA 130.0m
[120/6389] BRD-K45662124-050-02-3 -9.12 (passes -9.12)                1.3s/lig ETA 132.4m
[121/6389] BRD-K87535339-001-01-6 -8.35 (passes -8.35)                1.3s/lig ETA 131.6m
[122/6389] BRD-K00004308-001-01-9 -9.13 (passes -9.13)                1.3s/lig ETA 132.8m
[123/6389] BRD-K67173685-001-07-7 -9.91 (passes -9.91)                1.3s/lig ETA 132.8m
[124/6389] BRD-K92382976-050-02-9 -6.95 (passes -6.95)                1.3s/lig ETA 131.9m
[125/6389] BRD-K03871161-001-01-9 -5.67 (passes -5.67)                1.3s/lig ETA 131.8m
[126/6389] BRD-K11773281-001-02-0 -9.93 (passes -9.93)                1.3s/lig ETA 131.8m
[127/6389] BRD-K33690734-001-02-3 -7.12 (passes -7.12)                1.3s/lig ETA 130.9m
[128/6389] BRD-K01666923-236-01-9 -5.64 (passes -5.64)                1.2s/lig ETA 130.2m
