compounds=6389  already_done=193  todo=6196
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[82/6196] BRD-A80280426-001-03-8 -4.57 (passes -4.57)                2.3s/lig ETA 236.7m
[83/6196] BRD-K00003220-001-01-9 -9.19 (passes -9.19)                2.3s/lig ETA 233.9m
[84/6196] BRD-K33127281-001-06-4 -9.14 (passes -9.14)                2.3s/lig ETA 235.6m
[85/6196] BRD-A73427433-240-01-3 -6.80 (passes -6.80)                2.3s/lig ETA 235.2m
[86/6196] BRD-K00152668-001-01-5 -8.47 (passes -8.47)                2.3s/lig ETA 238.6m
[87/6196] BRD-K35936936-001-01-6 -10.32 (passes -10.32)              2.4s/lig ETA 239.4m
[88/6196] BRD-K82928847-001-04-7 -8.15 (passes -8.15)                2.3s/lig ETA 237.1m
[89/6196] BRD-K67789209-001-01-0 -8.87 (passes -8.87)                2.3s/lig ETA 234.8m
[90/6196] BRD-K43055376-001-01-2 -8.42 (passes -8.42)                2.3s/lig ETA 234.9m
[91/6196] BRD-K77484724-001-03-8 -7.31 (passes -7.31)                2.3s/lig ETA 235.8m
[92/6196] BRD-K00003499-001-01-9 -9.97 (passes -9.97)                2.4s/lig ETA 245.3m
[93/6196] BRD-K78097265-001-02-9 -6.47 (passes -6.47)                2.4s/lig ETA 247.3m
[94/6196] BRD-K01577834-001-15-1 -7.88 (passes -7.88)                2.4s/lig ETA 246.9m
[95/6196] BRD-K78185697-001-02-5 -8.55 (passes -8.55)                2.4s/lig ETA 247.7m
[96/6196] BRD-K31965398-001-03-9 -8.51 (passes -8.51)                2.4s/lig ETA 245.5m
[97/6196] BRD-K85767870-001-14-9 -8.54 (passes -8.54)                2.4s/lig ETA 246.1m
[98/6196] BRD-K60907894-003-24-9 -7.17 (passes -7.17)                2.5s/lig ETA 252.9m
[99/6196] BRD-K39624409-003-02-6 -9.53 (passes -9.53)                2.5s/lig ETA 252.2m
[100/6196] BRD-K96159438-001-08-9 -7.13 (passes -7.13)                2.5s/lig ETA 252.9m
[101/6196] BRD-K68810443-003-03-9 -9.84 (passes -9.84)                2.5s/lig ETA 252.0m
[102/6196] BRD-K82343404-003-06-9 -6.28 (passes -6.28)                2.5s/lig ETA 252.2m
[103/6196] BRD-K00003709-001-01-9 -9.12 (passes -9.12)                2.5s/lig ETA 249.8m
[104/6196] BRD-K34870043-001-01-8 -10.15 (passes -10.15)              2.4s/lig ETA 248.5m
[105/6196] BRD-K17368287-001-18-3 -10.16 (passes -10.16)              2.4s/lig ETA 246.8m
[106/6196] BRD-A90926615-001-02-7 -7.40 (passes -7.40)                2.4s/lig ETA 245.1m
[107/6196] BRD-K77911775-003-02-9 -9.11 (passes -9.11)                2.4s/lig ETA 243.2m
[108/6196] BRD-K77634909-001-05-0 -8.79 (passes -8.79)                2.4s/lig ETA 243.7m
[109/6196] BRD-K47816470-001-01-8 -9.78 (passes -9.78)                2.4s/lig ETA 243.3m
[110/6196] BRD-K56543881-001-03-9 -10.17 (passes -10.17)              2.4s/lig ETA 241.0m
[111/6196] BRD-K53205568-001-02-6 -6.99 (passes -6.99)                2.4s/lig ETA 240.0m
[112/6196] BRD-K00004970-001-01-9 -5.92 (passes -5.92)                2.4s/lig ETA 240.3m
[113/6196] BRD-K69247067-001-01-8 -8.38 (passes -8.38)                2.4s/lig ETA 239.4m
[114/6196] BRD-K40718343-001-05-9 -9.33 (passes -9.33)                2.4s/lig ETA 241.1m
[115/6196] BRD-K37793595-003-01-7 -7.15 (passes -7.15)                2.4s/lig ETA 241.4m
[116/6196] BRD-K08310154-001-03-8 -8.30 (passes -8.30)                2.4s/lig ETA 239.6m
[117/6196] BRD-K23791635-001-01-3 -9.24 (passes -9.24)                2.3s/lig ETA 238.0m
[118/6196] BRD-K04210847-001-21-9 -7.78 (passes -7.78)                2.3s/lig ETA 237.8m
[119/6196] BRD-K47105409-001-15-2 -8.99 (passes -8.99)                2.4s/lig ETA 238.5m
[120/6196] BRD-K00003302-001-01-9 -8.92 (passes -8.92)                2.3s/lig ETA 237.7m
[121/6196] BRD-K66175015-332-01-6 -9.24 (passes -9.24)                2.3s/lig ETA 235.8m
[122/6196] BRD-K34428485-001-18-4 -8.82 (passes -8.82)                2.3s/lig ETA 235.0m
[123/6196] BRD-A18074780-003-02-0 FAIL(prep: 3D embedding failed)     2.3s/lig ETA 235.2m
[124/6196] BRD-K00615600-001-12-9 -8.73 (passes -8.73)                2.3s/lig ETA 234.0m
[125/6196] BRD-K81048131-001-03-9 -8.71 (passes -8.71)                2.3s/lig ETA 232.8m
[126/6196] BRD-K84698278-001-03-4 -8.33 (passes -8.33)                2.3s/lig ETA 234.5m
[127/6196] BRD-K70262971-001-01-9 -9.39 (passes -9.39)                2.3s/lig ETA 233.4m
[128/6196] BRD-K32533226-001-01-3 -8.94 (passes -8.94)                2.3s/lig ETA 231.9m
[129/6196] BRD-K04691817-001-01-8 -8.00 (passes -8.00)                2.3s/lig ETA 232.4m
[130/6196] BRD-A78111609-001-01-2 -7.58 (passes -7.58)                2.3s/lig ETA 232.0m
[131/6196] BRD-K59339270-001-03-4 -9.03 (passes -9.03)                2.3s/lig ETA 231.7m
[132/6196] BRD-K10852420-001-03-9 -8.18 (passes -8.18)                2.3s/lig ETA 230.0m
[133/6196] BRD-K76677554-003-03-9 -7.36 (passes -7.36)                2.3s/lig ETA 231.4m
[134/6196] BRD-A56371469-001-03-3 -5.63 (passes -5.63)                2.3s/lig ETA 230.8m
[135/6196] BRD-A64808605-003-03-9 -9.02 (passes -9.02)                2.3s/lig ETA 229.1m
[136/6196] BRD-K85139301-001-02-9 -6.50 (passes -6.50)                2.3s/lig ETA 231.0m
[137/6196] BRD-K26807903-001-04-3 -6.84 (passes -6.84)                2.3s/lig ETA 230.9m
[138/6196] BRD-K54907283-001-01-2 -6.14 (passes -6.14)                2.3s/lig ETA 229.3m
[139/6196] BRD-K44731351-001-02-9 -9.68 (passes -9.68)                2.3s/lig ETA 233.5m
[140/6196] BRD-K80403280-001-02-1 -5.66 (passes -5.66)                2.3s/lig ETA 233.9m
[141/6196] BRD-K91495480-001-03-9 -6.11 (passes -6.11)                2.3s/lig ETA 234.0m
[142/6196] BRD-K00005347-001-01-9 FAIL(prep: 3D embedding failed)     2.3s/lig ETA 232.4m
[143/6196] BRD-K96029467-003-01-9 -7.76 (passes -7.76)                2.3s/lig ETA 231.0m
[144/6196] BRD-K09143580-001-02-9 -6.70 (passes -6.70)                2.3s/lig ETA 229.9m
[145/6196] BRD-K53731810-001-05-9 -8.51 (passes -8.51)                2.3s/lig ETA 228.4m
[146/6196] BRD-K79131256-001-20-9 -7.24 (passes -7.24)                2.3s/lig ETA 229.2m
[147/6196] BRD-A67060370-001-02-9 -7.64 (passes -7.64)                2.3s/lig ETA 228.5m
[148/6196] BRD-K01826783-003-07-9 -7.22 (passes -7.22)                2.3s/lig ETA 227.0m
[149/6196] BRD-K51784806-001-01-6 -7.98 (passes -7.98)                2.2s/lig ETA 225.5m
[150/6196] BRD-K01825118-065-05-9 -6.91 (passes -6.91)                2.2s/lig ETA 225.0m
[151/6196] BRD-K47492008-001-02-7 -7.12 (passes -7.12)                2.2s/lig ETA 224.8m
[152/6196] BRD-K06890060-001-09-1 -9.64 (passes -9.64)                2.2s/lig ETA 224.0m
[153/6196] BRD-K75527158-360-05-6 -5.93 (passes -5.93)                2.2s/lig ETA 226.2m
[154/6196] BRD-K55991142-001-01-6 -4.83 (passes -4.83)                2.2s/lig ETA 225.5m
[155/6196] BRD-K11267252-001-06-9 -9.41 (passes -9.41)                2.2s/lig ETA 224.4m
[156/6196] BRD-A17407635-001-04-0 -6.29 (passes -6.29)                2.3s/lig ETA 227.8m
[157/6196] BRD-K51751936-001-09-1 -9.34 (passes -9.34)                2.3s/lig ETA 226.6m
[158/6196] BRD-K89899948-001-01-7 -8.44 (passes -8.44)                2.3s/lig ETA 227.4m
[159/6196] BRD-K49522529-001-02-9 -8.54 (passes -8.54)                2.3s/lig ETA 227.2m
[160/6196] BRD-K00005348-001-01-9 -7.25 (passes -7.25)                2.2s/lig ETA 226.1m
